Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°C),Temperature Sampled High (°C),Dew Point Sampled Low (°C),Dew Point Sampled High (°C),Wind Speed Min (kph),Wind Speed Max (kph),Gust Speed Max (kph),Wind Direction Dominant (degrees),Visibility Min (km),Visibility Max (km),Precipitation (mm),Snow Depth Max (mm),Pressure Altimeter Min (mbar),Pressure Altimeter Max (mbar),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
VTSP,Asia/Bangkok,2017-11-23,25,31,22,24,0,24.08,,E,7,10,,,1006,1011,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-24,25,32,22,24,0,22.22,,E,7,10,,,1008,1012,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-25,24,29,23,24,0,20.37,,NE,1.5,10,,,1010,1013,FEW,mostly clear,BKN,mostly cloudy,+TSRA,thunderstorm with heavy rain,RA,rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-26,26,28,22,23,0,18.52,,E,7,10,,,1009,1013,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-27,24,31,22,23,0,16.67,,E,5,10,,,1006,1012,FEW,mostly clear,BKN,mostly cloudy,RA,rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-28,24,29,22,24,0,7.41,,E,7,9,,,1007,1012,FEW,mostly clear,BKN,mostly cloudy,RERA,recent rain,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-29,24,27,21,24,0,11.11,,NW,5,9,,,1009,1013,FEW,mostly clear,BKN,mostly cloudy,RERA,recent rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-11-30,23,28,21,23,1.85,14.82,27.78,NE,2,10,,,1006,1012,FEW,mostly clear,BKN,mostly cloudy,+RA,heavy rain,RA,rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-01,24,29,21,24,0,20.37,29.63,E,7,10,,,1005,1011,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-02,24,32,22,24,0,20.37,44.45,E,0.8,10,,,1006,1011,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,RERA,recent rain,VCSH,showers in the vicinity,,,,,,,,,,,,
